Name,Review_Count,Year of Experience,Positive_Review,Negative_Review
Karen Armstrong,270,25,263,7
Velma Jones,214,23,214,0
Jay Swedlaw,160,15,155,5
Dr. Terri  Sawyer,151,7,149,2
Dr. Courtney Liggera,144,17,137,7
Lori Melhart,136,20,134,2
Debra Halseth,132,19,131,1
Robin Campbell,130,30,129,1
Jill Ortolano,129,15,128,1
Sara Irwin,128,10,128,0
Potoula Diaz,121,23,117,4
Dr. Julia Kogan,120,8,118,2
Cindi Stewart,111,20,111,0
Andrew Wurth,110,25,108,2
Jono Lee,107,12,105,2
Jerry Crimmins,107,18,102,5
Dr. Carnell Colebrook-Claude,106,28,106,0
Prof. Valerie Starr,105,30,105,0
Katharine Jamison,105,8,104,1
Dr. Daryl Temkin,104,32,102,2
Saju Abraham,104,9,103,1
Christina Polizzo,103,27,103,0
Jorge Abreu,101,30,99,2
Rick Fulton,99,29,98,1
Ryan Smith,99,8,97,2
Emily Schwimmer,97,19,96,1
Andrea Levitan,95,18,94,1
Rachel Tiede,94,8,92,2
Karen Fischer,93,25,91,2
Anne Douglas,92,20,90,2
Pat Sumlin,92,20,89,3
Yumi Couper,90,8,89,1
Amy Plumb,90,11,85,5
Jennifer Fishman,89,12,88,1
Erica Mau,88,14,87,1
Stephanie Sherman,88,10,87,1
Maryann Whalen,88,22,88,0
Margaret Lorenz,86,23,85,1
Anthony Dykes,86,8,84,2
Lisa Stammerjohann,84,26,83,1
Dr. Julie McCune,84,20,84,0
Barbara-June Appelgren,84,45,79,5
Audra D'Eliso,83,10,82,1
Risa Lenney,83,30,83,0
Dr. Brad Burklow,82,25,80,2
Lisa Childers,81,25,80,1
Tara Michener,81,7,80,1
Dr. Kevin Wilbanks,80,27,77,3
Andrea Brant,79,9,75,4
Douglas Mitchell,79,8,77,2
Dr. Elizabeth Nyang,79,15,79,0
Vanessa Bonaparte,79,15,79,0
Traci E Ball,77,25,77,0
Steve Garufi,76,16,75,1
Brooke Bowen,76,18,74,2
Patricia Corlew,76,30,75,1
Jonathan Frenkel,75,11,74,1
Hsiao-Chieh Chiu,72,9,72,0
Sheila Flipse,72,27,72,0
Lucie Knapp,72,17,72,0
Tiffany Howard,72,20,71,1
Ruth Vanden Bosch,72,23,71,1
Maria Biasiotto,72,30,71,1
June Thornton-Marsh,71,26,69,2
Annie Milam,71,6,71,0
Dr. Terri Lechnyr,70,16,70,0
Charles Mendler,70,20,69,1
Dr. Samuel Abbott,70,16,67,3
Dr. Christina Gonzalez,70,17,70,0
Cessel Boyd-Lewis,69,5,69,0
Tracy Will,69,30,68,1
Dr. Vivia Hill-Silcott,68,8,67,1
Elisabeth Davis,68,22,65,3
Mary Lee Palmer,67,41,66,1
Jennifer Fritz,67,20,67,0
Dr. Kourtney Vaillancourt,67,14,64,3
Kelly  Griffin,67,13,67,0
Theresa Gibson,66,20,64,2
Deana Duckenfield,66,6,65,1
Ingrid Johnson,66,19,66,0
Nancy DiStefano,66,30,65,1
Barbara Leigh,65,32,64,1
Jesse Moon,65,10,63,2
Sharon Valentino,64,11,63,1
Kari Whatley,64,4,63,1
Patricia Lord,64,5,64,0
Kimberley Haley,63,20,60,3
Tim Fredrik Edquilag,63,7,63,0
Teresa Adams,63,12,62,1
David Demorest,62,16,61,1
Dr. Todd Ephraim,62,31,61,1
Denise Whall-Marlin,61,8,59,2
Brandon Graf,61,11,60,1
Aaron Gardner,61,19,60,1
Carly Mentlik,61,15,61,0
Carla Fort,61,10,60,1
Theresia Jackson,61,10,60,1
Donna Keehn,61,8,60,1
Victoria Scott,60,8,60,0
Matthew Jones,60,7,59,1
Deborah Unger,60,12,60,0
Jayne Chianelli,59,20,59,0
Judy Goldman,59,18,57,2
Adrienne Norwood,59,3,58,1
Dr. Karina Kim,59,24,59,0
Judith Lathrop,59,24,58,1
Kelley Sullivan,59,19,57,2
Pamela Walker,58,20,57,1
Donnie Fenton,58,10,58,0
Natalie Furdek,58,10,57,1
Gail Roberson,58,30,57,1
Casey Cobb,58,9,58,0
Tiffany Murray,58,3,57,1
Farhat Hasan,58,13,58,0
Christina Rolerson,57,11,57,0
Suzanne Sexton,57,26,56,1
Amanda Horting,57,7,57,0
Phil D'Agostino,57,29,57,0
Ingrid Middleton,56,17,56,0
George Lawson,56,28,56,0
Connie Branham,56,39,56,0
Jeannette Abelson,56,20,55,1
Jacqueline Baiada,56,27,56,0
Chelsey Hauer,56,17,55,1
Stephen Witte,56,35,54,2
Jane Meyers,56,17,55,1
Meghan Griffin,55,14,54,1
Dr. Alison Mell,55,8,54,1
Kimberley Smith-Maxwell,55,10,55,0
Jan Hernandez,55,35,55,0
Riddhi Sevak-Patel,55,7,53,2
Rachael Hyatt,54,4,54,0
Lynne Healey,54,25,54,0
Kara Anderson,54,25,54,0
Patrick Smith,54,15,53,1
Kathryn Starratt,54,22,53,1
Charlotte Neville,54,36,53,1
Delishia Williams,53,11,53,0
Dr. Nancy Forrest,53,25,53,0
Sabrina  Cleveland,53,4,53,0
Rev. Larry VanHook,53,6,52,1
Dr. Lori Whatley,53,20,53,0
Kalene McSwain-Faulkner,53,3,53,0
Kristi Myricks,53,30,53,0
Krysten Rohlik,53,9,53,0
Dr. Willie Cameron,52,16,50,2
Tina Taylor,52,11,52,0
Joshua Plantz,52,15,52,0
Dr. Charisse Diaz,52,15,52,0
Danae  Mutchelknaus,52,3,52,0
Dr. King Counts,51,12,50,1
Sandra Lancaster,51,10,51,0
Enrique Sanchez,51,20,46,5
Jennifer Teague,51,13,50,1
Connie Drew,51,15,48,3
Janet Huff,51,20,50,1
Merissa  Pryor,51,8,51,0
Christina Collins,50,11,48,2
Courtney Macon-Arnold,50,19,49,1
Julie Dodson,50,30,50,0
Dr. Daniella Jackson,50,17,49,1
Aldo Hernandez,50,25,49,1
Laura King,50,13,50,0
Aisha Jakachira,50,10,50,0
Laura Thompson,50,20,49,1
Karen Foster,50,20,50,0
Ava Griffiths,50,20,48,2
Valarie Collins,50,15,50,0
Dr. Jamie Spohn,50,11,49,1
Debra Arseneaux,50,16,50,0
Monique Harris,49,5,49,0
Cindy Johnson,49,8,47,2
Dr. Scott Anstadt,49,36,49,0
William Dougherty,49,16,48,1
Allison Wallace,49,7,48,1
Dr. Scott Butler,48,22,47,1
Desirea Russell,48,7,48,0
Alexis  Johnson,47,11,47,0
Jennifer Albert,47,20,46,1
David Spann,47,29,47,0
Yvette Smith,47,5,45,2
Kimberlee  Thomas,47,28,47,0
Wendy Reiersen,47,12,45,2
Farah Westbrook,46,11,46,0
Georgina Nunez,46,30,46,0
April Condemi,46,7,45,1
Brianna Weber,46,3,46,0
Sirena Robinson-Luczak,45,8,44,1
Gabriele Cash,45,11,45,0
Jennifer Garland,45,12,44,1
Renee Senn,45,22,44,1
Orly Katz,45,13,44,1
Michele Calin,45,25,45,0
Matthew McGuire,45,6,44,1
Wendy Galyen,45,17,43,2
Cynthia Robinson,45,18,45,0
Genna Risucci,44,5,44,0
Kalii Roller,44,13,43,1
Judi Biniamow,44,23,44,0
Ann-Marie Duncan,44,27,44,0
Denise Fisher,44,16,43,1
Dr. Rachel Merlin,44,9,44,0
Tonya Hillman,43,9,43,0
Mark-Jeremy Trybulski,43,18,42,1
Dana Storey,43,3,43,0
Melissa Russiano,43,25,43,0
Gale Dollard,43,7,43,0
Gary Gabbard,43,21,41,2
Julia Walker-Sandoval,43,7,43,0
Avrahom Rosenberg,43,6,41,2
Eryn Greenstein,43,1,41,2
Gregory Hayes,43,25,42,1
Felicia Rock,43,8,42,1
Chris Conley,43,10,43,0
Shelley Dodt,43,5,42,1
Seneca Williams,43,8,43,0
Dr. Emily Mayfield,42,12,41,1
Keisha  Wood,42,18,42,0
Rebekah Shaulis,42,10,40,2
Elizabeth Jones,42,7,42,0
Tracy Faust,42,20,42,0
Danielle Centofranchi,42,15,41,1
Lindsay DeMarlie,42,8,42,0
Kameron Macrorie,42,14,41,1
Beth Deja,42,10,40,2
Darice Dodd,42,13,41,1
Monica King,42,30,40,2
Holly Campbell,42,12,42,0
Audrey Kelly,42,17,42,0
Charnell Benjamin-Carter,42,10,40,2
"Christine Whittaker,  LMFT",41,11,41,0
Terry Carreiro,41,15,41,0
Mike Pfisterer,41,5,41,0
Elizabeth Shartle,41,12,40,1
Steve Reinoehl,41,10,41,0
Jennifer Thompson,41,13,41,0
Patrick Currie,41,20,41,0
Kayce Bragg,41,10,39,2
Tasha Wilder,41,13,40,1
Thea Vondracek,41,13,40,1
Erin Yurchenko,40,12,40,0
Dr. Ari Hahn,40,18,40,0
Dr. Jill Kapil,40,9,39,1
Stanley  Fireman,40,40,38,2
Chamika Block,40,6,40,0
Craig Halpern,40,19,38,2
Marissa Kent,40,5,39,1
Beverly Vanover,40,7,40,0
Rachel Wilson-Snyder,40,19,40,0
Kelly Lambie,40,9,40,0
Paula Schneider,40,18,40,0
Lori Kolb,40,14,40,0
Melanie Bagaglio,40,19,39,1
Leah Pavela-Mullins,40,15,39,1
Cynthia Tatum,40,6,40,0
Amy Bates,40,5,40,0
Toni Kooy,40,14,40,0
Dr. Emily Christensen,39,20,39,0
Aaron Dutil,39,11,39,0
Hillary Haarmann,39,20,39,0
Carlithea Farrington,39,20,39,0
Goldie Oakes,39,16,39,0
Sarah Spiro,39,3,39,0
Tiffany Wymore,39,3,38,1
Dr. Tanya Harrell,39,5,38,1
Don Maestas,39,10,38,1
Sadie Miller-Daley,39,7,38,1
Natalie Bryan,39,5,38,1
